plant_id,germplasm_id,row,range
20RITI20001,Alkar,1,1
20RITI20042,Alkar,1,42
20RITI20083,Alkar,1,83
20RITI20124,Alkar,2,24
20RITI20165,Alkar,2,65
20RITI20206,Alkar,3,6
20RITI20247,Alkar,3,47
20RITI20288,Alkar,3,88
20RITI20329,Alkar,4,29
20RITI20370,Alkar,4,70
20RITI20411,Alkar,5,11
20RITI20452,Alkar,5,52
20RITI20493,Alkar,5,93
20RITI20534,Alkar,6,34
20RITI20575,Alkar,6,75
20RITI20616,Alkar,7,16
20RITI20657,Alkar,7,57
20RITI20698,Alkar,7,98
20RITI20739,Alkar,8,39
20RITI20780,Alkar,8,80
20RITI20821,Alkar,9,21
20RITI20854,Alkar,9,54
20RITI20863,Alkar,9,63
20RITI20922,Alkar,10,22
20RITI20963,Alkar,10,63
20RITI21004,Alkar,11,4
20RITI21045,Alkar,11,45
20RITI21086,Alkar,11,86
20RITI21127,Alkar,12,27
20RITI21168,Alkar,12,68
20RITI21209,Alkar,13,9
20RITI21250,Alkar,13,50
20RITI21291,Alkar,13,91
20RITI21332,Alkar,14,32
20RITI21373,Alkar,14,73
20RITI21414,Alkar,15,14
20RITI21455,Alkar,15,55
20RITI21496,Alkar,15,96
20RITI21537,Alkar,16,37
20RITI21578,Alkar,16,78
20RITI21619,Alkar,17,19
20RITI21660,Alkar,17,60
20RITI21699,Alkar,17,99
20RITI21738,Alkar,18,38
20RITI21747,Alkar,18,47
20RITI21781,Alkar,18,81
