entity_id,trait_id,phenotype_value,phenotype_date,phenotype_year,phenotype_person,notes
20RITI20001,gsdplot,124.8,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20002,gsdplot,302.5,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20003,gsdplot,196.8,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20004,gsdplot,204.3,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20005,gsdplot,289.6,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20006,gsdplot,154.0,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20007,gsdplot,305.1,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20008,gsdplot,156.9,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20009,gsdplot,232.1,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20010,gsdplot,291.0,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20011,gsdplot,183.7,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20012,gsdplot,217.2,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20013,gsdplot,228.4,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20014,gsdplot,221.8,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20015,gsdplot,143.7,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20016,gsdplot,145.9,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20017,gsdplot,178.5,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20018,gsdplot,122.6,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20019,gsdplot,175.1,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20020,gsdplot,183.1,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20021,gsdplot,279.9,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20022,gsdplot,203.5,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20023,gsdplot,213.0,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
20RITI20024,gsdplot,207.9,2022-08-09,2022,"Bjohnson, Jbillman, Slarson","grams, new combine crude weight, uncleaned, minus avg bag wt of 23.39"
