plant_id,Row,Range,Row_Range,id
20RITI20001,1,1,1_1,1
20RITI20002,1,2,1_2,19
20RITI20003,1,3,1_3,37
20RITI20004,1,4,1_4,55
20RITI20005,1,5,1_5,73
20RITI20006,1,6,1_6,91
20RITI20007,1,7,1_7,109
20RITI20008,1,8,1_8,127
20RITI20009,1,9,1_9,145
20RITI20010,1,10,1_10,163
20RITI20011,1,11,1_11,181
20RITI20012,1,12,1_12,199
20RITI20013,1,13,1_13,217
20RITI20014,1,14,1_14,235
20RITI20015,1,15,1_15,253
20RITI20016,1,16,1_16,271
20RITI20017,1,17,1_17,289
20RITI20018,1,18,1_18,307
20RITI20019,1,19,1_19,325
20RITI20020,1,20,1_20,343
20RITI20021,1,21,1_21,361
20RITI20022,1,22,1_22,379
20RITI20023,1,23,1_23,397
20RITI20024,1,24,1_24,415
20RITI20025,1,25,1_25,433
20RITI20026,1,26,1_26,451
20RITI20027,1,27,1_27,469
20RITI20028,1,28,1_28,487
20RITI20029,1,29,1_29,505
20RITI20030,1,30,1_30,523
20RITI20031,1,31,1_31,541
20RITI20032,1,32,1_32,559
20RITI20033,1,33,1_33,577
20RITI20034,1,34,1_34,595
20RITI20035,1,35,1_35,613
20RITI20036,1,36,1_36,631
20RITI20037,1,37,1_37,649
20RITI20038,1,38,1_38,667
20RITI20039,1,39,1_39,685
20RITI20040,1,40,1_40,703
20RITI20041,1,41,1_41,721
20RITI20042,1,42,1_42,739
20RITI20043,1,43,1_43,757
20RITI20044,1,44,1_44,775
20RITI20045,1,45,1_45,793
20RITI20046,1,46,1_46,811
20RITI20047,1,47,1_47,829
20RITI20048,1,48,1_48,847
20RITI20049,1,49,1_49,865
20RITI20050,1,50,1_50,883
20RITI20051,1,51,1_51,901
20RITI20052,1,52,1_52,919
20RITI20053,1,53,1_53,937
20RITI20054,1,54,1_54,955
20RITI20055,1,55,1_55,973
20RITI20056,1,56,1_56,991
20RITI20057,1,57,1_57,1009
20RITI20058,1,58,1_58,1027
20RITI20059,1,59,1_59,1045
20RITI20060,1,60,1_60,1063
20RITI20061,1,61,1_61,1081
20RITI20062,1,62,1_62,1099
20RITI20063,1,63,1_63,1117
20RITI20064,1,64,1_64,1135
20RITI20065,1,65,1_65,1153
20RITI20066,1,66,1_66,1171
20RITI20067,1,67,1_67,1189
20RITI20068,1,68,1_68,1207
20RITI20069,1,69,1_69,1225
20RITI20070,1,70,1_70,1243
20RITI20071,1,71,1_71,1261
20RITI20072,1,72,1_72,1279
20RITI20073,1,73,1_73,1297
20RITI20074,1,74,1_74,1315
20RITI20075,1,75,1_75,1333
20RITI20076,1,76,1_76,1351
20RITI20077,1,77,1_77,1369
20RITI20078,1,78,1_78,1387
20RITI20079,1,79,1_79,1405
20RITI20080,1,80,1_80,1423
20RITI20081,1,81,1_81,1441
20RITI20082,1,82,1_82,1459
20RITI20083,1,83,1_83,1477
20RITI20084,1,84,1_84,1495
20RITI20085,1,85,1_85,1513
20RITI20086,1,86,1_86,1531
20RITI20087,1,87,1_87,1549
20RITI20088,1,88,1_88,1567
20RITI20089,1,89,1_89,1585
20RITI20090,1,90,1_90,1603
20RITI20091,1,91,1_91,1621
20RITI20092,1,92,1_92,1639
20RITI20093,1,93,1_93,1657
20RITI20094,1,94,1_94,1675
20RITI20095,1,95,1_95,1693
20RITI20096,1,96,1_96,1711
20RITI20097,1,97,1_97,1729
20RITI20098,1,98,1_98,1747
20RITI20099,1,99,1_99,1765
20RITI20100,1,100,1_100,1783
20RITI20101,2,1,2_1,2
20RITI20102,2,2,2_2,20
20RITI20103,2,3,2_3,38
20RITI20104,2,4,2_4,56
20RITI20105,2,5,2_5,74
20RITI20106,2,6,2_6,92
20RITI20107,2,7,2_7,110
