ID,Weight (g),Bag #,Notes,Column1
entity_id,,,,
20RITI20212,271.15,NO #,,
20RITI21750,351.04,NO #,,
20RITI20213,193.2,NO #,,
20RITI20316,168.22,NO #,,
20RITI21747,85.77,NO #,,
20RITI20215,309.16,NO #,,
20RITI21745,365.23,NO #,,
20RITI21758,287.63,NO #,,
20RITI21726,272.06,NO #,,
20RITI21746,451.93,NO #,,
20RITI20267,393.66,NO #,,
20RITI20238,374.64,NO #,,
20RITI21757,365.12,NO #,,
20RITI21749,361.58,NO #,,
20RITI20214,303.33,NO #,,
20RITI21751,290.38,NO #,,
20RITI21752,280.94,NO #,,
20RITI21728,205.47,NO #,,
20RITI21754,227.73,NO #,,
20RITI21717,234.2,NO #,,
20RITI20266,322.37,NO #,,
20RITI20287,371.82,NO #,,
20RITI20277,350.97,NO #,,
20RITI20219,275.88,NO #,,
20RITI20289,505.66,NO #,,
20RITI20216,231.53,NO #,,
20RITI20261,402.65,NO #,,
20RITI20283,315.94,NO #,,
20RITI20217,226.4,NO #,,
20RITI20265,375.07,NO #,,
20RITI20294,446.97,NO #,,
20RITI20285,502.9,NO #,,
20RITI20220,275.84,NO #,,
20RITI20210,364.77,NO #,,
20RITI21753,310.61,NO #,,
20RITI20295,467.27,NO #,,
20RITI20218,192.57,NO #,,
20RITI20276,300.08,NO #,,
20RITI21719,272.25,NO #,,
20RITI20239,333.49,NO #,,
20RITI21720,197.83,NO #,,
20RITI20259,335.35,NO #,,
20RITI20264,328.43,NO #,,
20RITI20263,404.76,NO #,,
20RITI20221,270.71,NO #,,
20RITI20284,316.81,NO #,,
20RITI21503,316.83,NO #,,
20RITI21748,517.46,NO #,,
20RITI21744,263.71,NO #,,
20RITI20286,433.77,NO #,,
20RITI20279,377.87,NO #,,
20RITI20290,454.35,NO #,,
20RITI21718,204.78,NO #,,
20RITI21755,294.19,NO #,,
20RITI21756,224.4,NO #,,
20RITI21742,321.33,NO #,,
20RITI21769,444.33,NO #,,
20RITI21713,226.59,NO #,,
20RITI21759,325.42,NO #,,
20RITI21731,397.51,NO #,,
20RITI21727,340.44,NO #,,
20RITI20342,264.54,NO #,,
20RITI20211,248.04,NO #,,
20RITI21761,365.84,NO #,,
20RITI21768,389.92,NO #,,
20RITI21774,348.61,NO #,,
20RITI21776,401.78,NO #,,
20RITI21767,395.7,NO #,,
20RITI21766,326.92,NO #,,
20RITI21764,430.64,NO #,,
20RITI21765,443.62,NO #,,
20RITI21712,285.54,NO #,,
