plant_id,source_id,germplasm_id,experiment_id,planting_date,row,range,rep
20RITI20001,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,1,1,1
20RITI20002,UM2014_0165_68,UM2014_0165_68,20_RIC_KERNZA_C0HSF,2020-05-14,1,2,1
20RITI20003,UM2014_0044_16,UM2014_0044_16,20_RIC_KERNZA_C0HSF,2020-05-14,1,3,1
20RITI20004,UM2014_0132_06,UM2014_0132_06,20_RIC_KERNZA_C0HSF,2020-05-14,1,4,1
20RITI20005,TLI_6470_24,TLI_6470_24,20_RIC_KERNZA_C0HSF,2020-05-14,1,5,1
20RITI20006,MN_1502_Syn2_70,MN_1502_Syn2_70,20_RIC_KERNZA_C0HSF,2020-05-14,1,6,1
20RITI20007,TLI_5344_12,TLI_5344_12,20_RIC_KERNZA_C0HSF,2020-05-14,1,7,1
20RITI20008,TLI_10427_51,TLI_10427_51,20_RIC_KERNZA_C0HSF,2020-05-14,1,8,1
20RITI20009,TLI_5711_43,TLI_5711_43,20_RIC_KERNZA_C0HSF,2020-05-14,1,9,1
20RITI20010,UM2014_0066_77,UM2014_0066_77,20_RIC_KERNZA_C0HSF,2020-05-14,1,10,1
20RITI20011,TLI_5250_38,TLI_5250_38,20_RIC_KERNZA_C0HSF,2020-05-14,1,11,1
20RITI20012,UM2014_0175_40,UM2014_0175_40,20_RIC_KERNZA_C0HSF,2020-05-14,1,12,1
20RITI20013,UM2014_0066_53,UM2014_0066_53,20_RIC_KERNZA_C0HSF,2020-05-14,1,13,1
20RITI20014,TLI_6479_19,TLI_6479_19,20_RIC_KERNZA_C0HSF,2020-05-14,1,14,1
20RITI20015,TLI_1648_45,TLI_1648_45,20_RIC_KERNZA_C0HSF,2020-05-14,1,15,1
20RITI20016,TLI_6470_01,TLI_6470_01,20_RIC_KERNZA_C0HSF,2020-05-14,1,16,1
20RITI20017,UM2014_0175_76,UM2014_0175_76,20_RIC_KERNZA_C0HSF,2020-05-14,1,17,1
20RITI20018,TLI_10427_76,TLI_10427_76,20_RIC_KERNZA_C0HSF,2020-05-14,1,18,1
20RITI20019,TLI_4201_A_01,TLI_4201_A_01,20_RIC_KERNZA_C0HSF,2020-05-14,1,19,1
20RITI20020,TLI_4201_A_43,TLI_4201_A_43,20_RIC_KERNZA_C0HSF,2020-05-14,1,20,1
20RITI20021,UM2014_0001_73,UM2014_0001_73,20_RIC_KERNZA_C0HSF,2020-05-14,1,21,1
20RITI20022,UM2014_0165_10,UM2014_0165_10,20_RIC_KERNZA_C0HSF,2020-05-14,1,22,1
20RITI20023,UM2014_0044_42,UM2014_0044_42,20_RIC_KERNZA_C0HSF,2020-05-14,1,23,1
20RITI20024,UM2014_0175_21,UM2014_0175_21,20_RIC_KERNZA_C0HSF,2020-05-14,1,24,1
20RITI20025,UM2014_0066_10,UM2014_0066_10,20_RIC_KERNZA_C0HSF,2020-05-14,1,25,1
20RITI20026,UM2014_0025_02,UM2014_0025_02,20_RIC_KERNZA_C0HSF,2020-05-14,1,26,1
20RITI20027,TLI_10427_18,TLI_10427_18,20_RIC_KERNZA_C0HSF,2020-05-14,1,27,1
20RITI20028,MN_1504_Syn2_20,MN_1504_Syn2_20,20_RIC_KERNZA_C0HSF,2020-05-14,1,28,1
20RITI20029,TLI_6479_42,TLI_6479_42,20_RIC_KERNZA_C0HSF,2020-05-14,1,29,1
20RITI20030,MN_1502_Syn2_69,MN_1502_Syn2_69,20_RIC_KERNZA_C0HSF,2020-05-14,1,30,1
20RITI20031,UM2014_0044_12,UM2014_0044_12,20_RIC_KERNZA_C0HSF,2020-05-14,1,31,1
20RITI20032,UM2014_0001_72,UM2014_0001_72,20_RIC_KERNZA_C0HSF,2020-05-14,1,32,1
20RITI20033,UM2014_0044_76,UM2014_0044_76,20_RIC_KERNZA_C0HSF,2020-05-14,1,33,1
20RITI20034,TLI_5344_77,TLI_5344_77,20_RIC_KERNZA_C0HSF,2020-05-14,1,34,1
20RITI20035,TLI_1523_69,TLI_1523_69,20_RIC_KERNZA_C0HSF,2020-05-14,1,35,1
20RITI20036,UM2014_0001_43,UM2014_0001_43,20_RIC_KERNZA_C0HSF,2020-05-14,1,36,1
20RITI20037,TLI_5250_06,TLI_5250_06,20_RIC_KERNZA_C0HSF,2020-05-14,1,37,1
20RITI20038,UM2014_0175_13,UM2014_0175_13,20_RIC_KERNZA_C0HSF,2020-05-14,1,38,1
20RITI20039,TLI_1523_17,TLI_1523_17,20_RIC_KERNZA_C0HSF,2020-05-14,1,39,1
20RITI20040,TLI_3078_36,TLI_3078_36,20_RIC_KERNZA_C0HSF,2020-05-14,1,40,1
20RITI20041,UM2014_0175_38,UM2014_0175_38,20_RIC_KERNZA_C0HSF,2020-05-14,1,41,1
20RITI20042,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,1,42,1
20RITI20043,UM2014_0026_12,UM2014_0026_12,20_RIC_KERNZA_C0HSF,2020-05-14,1,43,1
20RITI20044,TLI_14172_13,TLI_14172_13,20_RIC_KERNZA_C0HSF,2020-05-14,1,44,1
20RITI20045,UM2014_0132_02,UM2014_0132_02,20_RIC_KERNZA_C0HSF,2020-05-14,1,45,1
20RITI20046,TLI_5344_39,TLI_5344_39,20_RIC_KERNZA_C0HSF,2020-05-14,1,46,1
20RITI20047,MN_1503_Syn2_72,MN_1503_Syn2_72,20_RIC_KERNZA_C0HSF,2020-05-14,1,47,1
20RITI20048,MN_1503_Syn2_14,MN_1503_Syn2_14,20_RIC_KERNZA_C0HSF,2020-05-14,1,48,1
20RITI20049,MN_1504_Syn2_19,MN_1504_Syn2_19,20_RIC_KERNZA_C0HSF,2020-05-14,1,49,1
20RITI20050,TLI_5344_46,TLI_5344_46,20_RIC_KERNZA_C0HSF,2020-05-14,1,50,1
20RITI20051,UM2014_0001_37,UM2014_0001_37,20_RIC_KERNZA_C0HSF,2020-05-14,1,51,1
20RITI20052,TLI_1648_72,TLI_1648_72,20_RIC_KERNZA_C0HSF,2020-05-14,1,52,1
20RITI20053,TLI_6215_67,TLI_6215_67,20_RIC_KERNZA_C0HSF,2020-05-14,1,53,1
20RITI20054,TLI_5344_05,TLI_5344_05,20_RIC_KERNZA_C0HSF,2020-05-14,1,54,1
20RITI20055,TLI_5250_74,TLI_5250_74,20_RIC_KERNZA_C0HSF,2020-05-14,1,55,1
20RITI20056,TLI_10427_43,TLI_10427_43,20_RIC_KERNZA_C0HSF,2020-05-14,1,56,1
20RITI20057,TLI_6479_08,TLI_6479_08,20_RIC_KERNZA_C0HSF,2020-05-14,1,57,1
20RITI20058,UM2014_0152_18,UM2014_0152_18,20_RIC_KERNZA_C0HSF,2020-05-14,1,58,1
20RITI20059,UM2014_0132_76,UM2014_0132_76,20_RIC_KERNZA_C0HSF,2020-05-14,1,59,1
20RITI20060,UM2014_0119_17,UM2014_0119_17,20_RIC_KERNZA_C0HSF,2020-05-14,1,60,1
20RITI20061,MN_1505_Syn2_38,MN_1505_Syn2_38,20_RIC_KERNZA_C0HSF,2020-05-14,1,61,1
20RITI20062,UM2014_0119_21,UM2014_0119_21,20_RIC_KERNZA_C0HSF,2020-05-14,1,62,1
20RITI20063,TLI_3719_52,TLI_3719_52,20_RIC_KERNZA_C0HSF,2020-05-14,1,63,1
20RITI20064,MN_1502_Syn2_38,MN_1502_Syn2_38,20_RIC_KERNZA_C0HSF,2020-05-14,1,64,1
20RITI20065,UM2014_0119_05,UM2014_0119_05,20_RIC_KERNZA_C0HSF,2020-05-14,1,65,1
20RITI20066,TLI_6479_21,TLI_6479_21,20_RIC_KERNZA_C0HSF,2020-05-14,1,66,1
20RITI20067,TLI_14172_10,TLI_14172_10,20_RIC_KERNZA_C0HSF,2020-05-14,1,67,1
20RITI20068,UM2014_0119_10,UM2014_0119_10,20_RIC_KERNZA_C0HSF,2020-05-14,1,68,1
20RITI20069,UM2014_0152_21,UM2014_0152_21,20_RIC_KERNZA_C0HSF,2020-05-14,1,69,1
20RITI20070,MN_1501_Syn2_05,MN_1501_Syn2_05,20_RIC_KERNZA_C0HSF,2020-05-14,1,70,1
20RITI20071,TLI_3719_67,TLI_3719_67,20_RIC_KERNZA_C0HSF,2020-05-14,1,71,1
20RITI20072,TLI_4201_A_14,TLI_4201_A_14,20_RIC_KERNZA_C0HSF,2020-05-14,1,72,1
20RITI20073,UM2014_0132_15,UM2014_0132_15,20_RIC_KERNZA_C0HSF,2020-05-14,1,73,1
20RITI20074,TLI_4201_A_46,TLI_4201_A_46,20_RIC_KERNZA_C0HSF,2020-05-14,1,74,1
20RITI20075,TLI_14172_44,TLI_14172_44,20_RIC_KERNZA_C0HSF,2020-05-14,1,75,1
20RITI20076,TLI_6479_44,TLI_6479_44,20_RIC_KERNZA_C0HSF,2020-05-14,1,76,1
20RITI20077,TLI_1523_08,TLI_1523_08,20_RIC_KERNZA_C0HSF,2020-05-14,1,77,1
20RITI20078,UM2014_0026_09,UM2014_0026_09,20_RIC_KERNZA_C0HSF,2020-05-14,1,78,1
20RITI20079,UM2014_0026_08,UM2014_0026_08,20_RIC_KERNZA_C0HSF,2020-05-14,1,79,1
20RITI20080,UM2014_0132_51,UM2014_0132_51,20_RIC_KERNZA_C0HSF,2020-05-14,1,80,1
20RITI20081,MN_1505_Syn2_74,MN_1505_Syn2_74,20_RIC_KERNZA_C0HSF,2020-05-14,1,81,1
20RITI20082,TLI_6470_72,TLI_6470_72,20_RIC_KERNZA_C0HSF,2020-05-14,1,82,1
20RITI20083,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,1,83,1
20RITI20084,TLI_14172_11,TLI_14172_11,20_RIC_KERNZA_C0HSF,2020-05-14,1,84,1
20RITI20085,UM2014_0066_02,UM2014_0066_02,20_RIC_KERNZA_C0HSF,2020-05-14,1,85,1
20RITI20086,TLI_5344_11,TLI_5344_11,20_RIC_KERNZA_C0HSF,2020-05-14,1,86,1
20RITI20087,TLI_6470_36,TLI_6470_36,20_RIC_KERNZA_C0HSF,2020-05-14,1,87,1
20RITI20088,UM2014_0025_36,UM2014_0025_36,20_RIC_KERNZA_C0HSF,2020-05-14,1,88,1
20RITI20089,TLI_3078_51,TLI_3078_51,20_RIC_KERNZA_C0HSF,2020-05-14,1,89,1
20RITI20090,UM2014_0152_23,UM2014_0152_23,20_RIC_KERNZA_C0HSF,2020-05-14,1,90,1
20RITI20091,MN_1502_Syn2_23,MN_1502_Syn2_23,20_RIC_KERNZA_C0HSF,2020-05-14,1,91,1
20RITI20092,TLI_6479_51,TLI_6479_51,20_RIC_KERNZA_C0HSF,2020-05-14,1,92,1
20RITI20093,MN_1503_Syn2_13,MN_1503_Syn2_13,20_RIC_KERNZA_C0HSF,2020-05-14,1,93,1
20RITI20094,TLI_1523_71,TLI_1523_71,20_RIC_KERNZA_C0HSF,2020-05-14,1,94,1
20RITI20095,UM2014_0132_23,UM2014_0132_23,20_RIC_KERNZA_C0HSF,2020-05-14,1,95,1
20RITI20096,TLI_1523_20,TLI_1523_20,20_RIC_KERNZA_C0HSF,2020-05-14,1,96,1
20RITI20097,UM2014_0025_46,UM2014_0025_46,20_RIC_KERNZA_C0HSF,2020-05-14,1,97,1
20RITI20098,TLI_6215_54,TLI_6215_54,20_RIC_KERNZA_C0HSF,2020-05-14,1,98,1
20RITI20099,MN_1505_Syn2_23,MN_1505_Syn2_23,20_RIC_KERNZA_C0HSF,2020-05-14,1,99,1
20RITI20100,UM2014_0119_74,UM2014_0119_74,20_RIC_KERNZA_C0HSF,2020-05-14,1,100,1
20RITI20101,TLI_3078_11,TLI_3078_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,1,1
20RITI20102,UM2014_0025_44,UM2014_0025_44,20_RIC_KERNZA_C0HSF,2020-05-14,2,2,1
20RITI20103,UM2014_0175_20,UM2014_0175_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,3,1
20RITI20104,TLI_3078_46,TLI_3078_46,20_RIC_KERNZA_C0HSF,2020-05-14,2,4,1
20RITI20105,UM2014_0001_06,UM2014_0001_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,5,1
20RITI20106,MN_1501_Syn2_14,MN_1501_Syn2_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,6,1
20RITI20107,UM2014_0025_11,UM2014_0025_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,7,1
20RITI20108,UM2014_0066_11,UM2014_0066_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,8,1
20RITI20109,TLI_10427_53,TLI_10427_53,20_RIC_KERNZA_C0HSF,2020-05-14,2,9,1
20RITI20110,TLI_14172_23,TLI_14172_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,10,1
20RITI20111,TLI_3719_10,TLI_3719_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,11,1
20RITI20112,TLI_4201_A_70,TLI_4201_A_70,20_RIC_KERNZA_C0HSF,2020-05-14,2,12,1
20RITI20113,UM2014_0044_69,UM2014_0044_69,20_RIC_KERNZA_C0HSF,2020-05-14,2,13,1
20RITI20114,TLI_12869_21,TLI_12869_21,20_RIC_KERNZA_C0HSF,2020-05-14,2,14,1
20RITI20115,UM2014_0001_19,UM2014_0001_19,20_RIC_KERNZA_C0HSF,2020-05-14,2,15,1
20RITI20116,UM2014_0026_23,UM2014_0026_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,16,1
20RITI20117,MN_1501_Syn2_06,MN_1501_Syn2_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,17,1
20RITI20118,TLI_1523_13,TLI_1523_13,20_RIC_KERNZA_C0HSF,2020-05-14,2,18,1
20RITI20119,TLI_5250_17,TLI_5250_17,20_RIC_KERNZA_C0HSF,2020-05-14,2,19,1
20RITI20120,UM2014_0132_10,UM2014_0132_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,20,1
20RITI20121,UM2014_0001_07,UM2014_0001_07,20_RIC_KERNZA_C0HSF,2020-05-14,2,21,1
20RITI20122,TLI_3078_20,TLI_3078_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,22,1
20RITI20123,TLI_14172_06,TLI_14172_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,23,1
20RITI20124,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,2,24,1
20RITI20125,UM2014_0026_17,UM2014_0026_17,20_RIC_KERNZA_C0HSF,2020-05-14,2,25,1
20RITI20126,TLI_1648_22,TLI_1648_22,20_RIC_KERNZA_C0HSF,2020-05-14,2,26,1
