plot,gsdplot,
20RITI20001,113.6,
20RITI20002,135.19,
20RITI20003,49.89,
20RITI20004,101.25,
20RITI20005,70.37,
20RITI20006,0,
20RITI20007,0.6,
20RITI20008,91.45,
20RITI20009,110.27,
20RITI20010,38.74,
20RITI20011,135.2,
20RITI20012,106.2,
20RITI20013,52.16,
20RITI20014,74.74,
20RITI20015,22.52,
20RITI20016,109.5,
20RITI20017,125.31,
20RITI20018,40.2,
20RITI20019,53.78,
20RITI20020,42.85,
20RITI20021,118.5,
20RITI20022,96,
20RITI20023,80.1,
20RITI20024,97.58,
20RITI20025,28.64,
20RITI20026,82.63,
20RITI20027,49.79,
20RITI20028,78.08,
20RITI20029,85.06,
20RITI20030,62.13,
20RITI20031,73.14,
20RITI20032,69.13,
20RITI20033,60.81,
20RITI20034,68.5,
20RITI20035,51.48,
20RITI20036,132.73,
20RITI20037,0,
20RITI20038,134.21,
20RITI20039,200.83,
20RITI20040,79.84,
20RITI20041,84.22,
20RITI20042,110.69,
20RITI20043,117.87,
20RITI20044,141.35,
20RITI20045,0.17,
20RITI20046,na,
20RITI20047,73.56,
20RITI20048,104.96,
20RITI20049,120.44,
20RITI20050,172.43,
20RITI20051,103.51,
20RITI20052,167.27,
20RITI20053,33.83,
20RITI20054,94.51,
20RITI20055,172.52,
20RITI20056,67.56,
20RITI20057,25.16,
20RITI20058,42.11,
20RITI20059,77.19,
20RITI20060,52.51,
20RITI20061,27.87,
20RITI20062,138.79,
20RITI20063,90.72,
20RITI20064,93.66,
20RITI20065,86.24,
20RITI20066,43.07,
20RITI20067,62.86,
20RITI20068,88.3,
20RITI20069,104.82,
20RITI20070,56.69,
20RITI20071,46.2,
20RITI20072,na,
20RITI20073,102.23,
20RITI20074,48.53,
20RITI20075,41.94,
20RITI20076,28.99,
20RITI20077,50.64,
20RITI20078,17.18,
20RITI20079,5.78,
20RITI20080,27.55,
20RITI20081,18.86,
20RITI20082,16.73,
20RITI20083,28,
20RITI20084,90.78,
20RITI20085,150.97,
20RITI20086,74.59,
20RITI20087,158.26,
20RITI20088,82.89,
20RITI20089,106.54,
20RITI20090,77.48,
20RITI20091,70.41,
20RITI20092,78.22,
20RITI20093,86.8,
20RITI20094,32.94,
20RITI20095,0,
20RITI20096,26.21,
20RITI20097,0,
20RITI20098,68.8,
20RITI20099,50.26,
20RITI20100,66.98,
20RITI20101,111.26,
20RITI20102,91.97,
20RITI20103,92.01,
20RITI20104,66.18,
20RITI20105,56.2,
20RITI20106,81.41,
20RITI20107,21.2,
20RITI20108,41,
20RITI20109,11.72,
20RITI20110,62.6,
20RITI20111,35.99,
20RITI20112,61.63,
20RITI20113,57.83,
20RITI20114,34.7,
20RITI20115,76.05,
20RITI20116,90.12,
20RITI20117,81.76,
20RITI20118,57.09,
20RITI20119,101.42,
20RITI20120,83.52,
20RITI20121,75.63,
20RITI20122,95.51,
20RITI20123,68.36,
20RITI20124,8.75,
20RITI20125,36.09,
20RITI20126,41.08,
20RITI20127,38.12,
20RITI20128,28.2,
20RITI20129,36.61,
20RITI20130,24.27,
20RITI20131,38.44,
20RITI20132,33.98,
20RITI20133,34.37,
20RITI20134,28.3,
20RITI20135,53.85,
20RITI20136,25.55,
20RITI20137,112.41,
20RITI20138,90.42,
20RITI20139,36.94,
20RITI20140,120.09,
20RITI20141,20.94,
20RITI20142,110.44,
20RITI20143,106.26,
20RITI20144,77.35,
20RITI20145,70.45,
20RITI20146,93.07,
20RITI20147,75.58,
20RITI20148,77.81,
20RITI20149,102.86,
20RITI20150,70.16,
20RITI20151,124.15,
20RITI20152,118.45,
20RITI20153,73.83,
20RITI20154,52.94,
20RITI20155,66.67,
20RITI20156,57.86,
20RITI20157,22.37,
20RITI20158,36.83,
20RITI20159,57.72,
20RITI20160,61.98,
20RITI20161,69.55,
20RITI20162,40.19,
20RITI20163,36.78,
20RITI20164,112.37,
20RITI20165,4.6,
20RITI20166,58.44,
20RITI20167,56.91,
20RITI20168,40.86,
20RITI20169,33.79,
20RITI20170,72.23,
20RITI20171,67.16,
20RITI20172,70.78,
20RITI20173,36.04,
20RITI20174,32.84,
20RITI20175,21.64,
20RITI20176,30.58,
20RITI20177,12.79,
20RITI20178,2.34,
20RITI20179,11.01,
20RITI20180,14.46,
20RITI20181,7.95,
20RITI20182,22.37,
20RITI20183,29.69,
20RITI20184,65.39,
20RITI20185,69.06,
20RITI20186,60.01,
20RITI20187,95.86,
20RITI20188,55.58,
20RITI20189,19.24,
20RITI20190,36.91,
20RITI20191,0,
20RITI20192,86.08,
20RITI20193,43.2,
20RITI20194,33.55,
20RITI20195,17.91,
20RITI20196,14.26,
20RITI20197,98.34,
20RITI20198,38.72,
20RITI20199,61,
20RITI20200,31.48,
20RITI20201,77.92,
20RITI20202,107.86,
20RITI20203,91.29,
20RITI20204,37.65,
20RITI20205,81.8,
20RITI20206,4.37,
20RITI20207,52.99,
20RITI20208,92.65,
20RITI20209,70.27,
20RITI20210,55.5,
20RITI20211,118.01,
20RITI20212,43.83,
20RITI20213,37.07,
20RITI20214,0,
20RITI20215,50.3,
20RITI20216,120.14,
20RITI20217,120,
20RITI20218,60.75,
20RITI20219,20.73,
20RITI20220,22.71,
20RITI20221,73.26,
20RITI20222,59.06,
20RITI20223,86.85,
20RITI20224,29.21,
20RITI20225,29.54,
20RITI20226,38.06,
20RITI20227,50.29,
20RITI20228,41.92,
20RITI20229,33.63,
20RITI20230,113.34,
20RITI20231,66.28,
20RITI20232,95.24,
20RITI20233,104.75,
20RITI20234,47.28,
