plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,2.382125107
20RITI20002,1,2,1_2,19,2.218446199
20RITI20003,1,3,1_3,37,2.425816964
20RITI20004,1,4,1_4,55,2.409366462
20RITI20005,1,5,1_5,73,2.453053213
20RITI20006,1,6,1_6,91,2.294533377
20RITI20007,1,7,1_7,109,2.270458123
20RITI20008,1,8,1_8,127,2.263693884
20RITI20009,1,9,1_9,145,2.362984518
20RITI20010,1,10,1_10,163,2.410945481
20RITI20011,1,11,1_11,181,2.289813532
20RITI20012,1,12,1_12,199,1.817888661
20RITI20013,1,13,1_13,217,1.896917795
20RITI20014,1,14,1_14,235,2.05700958
20RITI20015,1,15,1_15,253,2.288696087
20RITI20016,1,16,1_16,271,1.858436375
20RITI20017,1,17,1_17,289,1.547029957
20RITI20018,1,18,1_18,307,1.873504039
20RITI20019,1,19,1_19,325,1.567079191
20RITI20020,1,20,1_20,343,2.108781281
20RITI20021,1,21,1_21,361,2.106532895
20RITI20022,1,22,1_22,379,1.781187635
20RITI20023,1,23,1_23,397,1.844015408
20RITI20024,1,24,1_24,415,1.680314122
20RITI20025,1,25,1_25,433,1.531046962
20RITI20026,1,26,1_26,451,1.880716061
20RITI20027,1,27,1_27,469,2.044850079
20RITI20028,1,28,1_28,487,2.122296211
20RITI20029,1,29,1_29,505,1.991713993
20RITI20030,1,30,1_30,523,1.438968272
20RITI20031,1,31,1_31,541,1.520456072
20RITI20032,1,32,1_32,559,2.046865767
20RITI20033,1,33,1_33,577,2.041692423
20RITI20034,1,34,1_34,595,2.304896983
20RITI20035,1,35,1_35,613,2.111492401
20RITI20036,1,36,1_36,631,2.081313858
20RITI20037,1,37,1_37,649,2.425807503
20RITI20038,1,38,1_38,667,2.603232395
20RITI20039,1,39,1_39,685,2.422886685
20RITI20040,1,40,1_40,703,2.190973188
20RITI20041,1,41,1_41,721,1.662308543
20RITI20042,1,42,1_42,739,2.284633219
20RITI20043,1,43,1_43,757,1.921688152
20RITI20044,1,44,1_44,775,2.000722161
20RITI20045,1,45,1_45,793,1.983590602
20RITI20046,1,46,1_46,811,1.76497773
20RITI20047,1,47,1_47,829,2.188039994
20RITI20048,1,48,1_48,847,1.644969352
20RITI20049,1,49,1_49,865,2.252222833
20RITI20050,1,50,1_50,883,2.048010093
20RITI20051,1,51,1_51,901,1.642056543
20RITI20052,1,52,1_52,919,2.405993874
20RITI20053,1,53,1_53,937,2.112401434
20RITI20054,1,54,1_54,955,2.592869543
20RITI20055,1,55,1_55,973,2.134016627
20RITI20056,1,56,1_56,991,2.277213179
20RITI20057,1,57,1_57,1009,1.958400872
20RITI20058,1,58,1_58,1027,2.353762373
20RITI20059,1,59,1_59,1045,2.401943421
20RITI20060,1,60,1_60,1063,2.556844973
20RITI20061,1,61,1_61,1081,1.784560599
20RITI20062,1,62,1_62,1099,2.088067333
20RITI20063,1,63,1_63,1117,1.453369869
20RITI20064,1,64,1_64,1135,2.004540357
20RITI20065,1,65,1_65,1153,1.99868698
20RITI20066,1,66,1_66,1171,1.923030893
20RITI20067,1,67,1_67,1189,2.098657398
20RITI20068,1,68,1_68,1207,1.93541947
20RITI20069,1,69,1_69,1225,1.992387931
20RITI20070,1,70,1_70,1243,2.236007826
20RITI20071,1,71,1_71,1261,2.252209066
