plant_id,Row,Range,Row_Range,id,area_calculation
20RITI20001,1,1,1_1,1,1.422981155
20RITI20101,2,1,2_1,2,1.322331769
20RITI20201,3,1,3_1,3,1.420724117
20RITI20301,4,1,4_1,4,1.163598699
20RITI20401,5,1,5_1,5,1.333136366
20RITI20501,6,1,6_1,6,1.226642702
20RITI20601,7,1,7_1,7,1.509207161
20RITI20701,8,1,8_1,8,1.836585427
20RITI20801,9,1,9_1,9,1.527901086
20RITI20901,10,1,10_1,10,1.564595101
20RITI21001,11,1,11_1,11,1.622232544
20RITI21101,12,1,12_1,12,1.500427946
20RITI21201,13,1,13_1,13,1.665908928
20RITI21301,14,1,14_1,14,1.425001571
20RITI21401,15,1,15_1,15,1.52362054
20RITI21501,16,1,16_1,16,1.533521719
20RITI21601,17,1,17_1,17,1.536890163
20RITI21701,18,1,18_1,18,1.652632022
20RITI20002,1,2,1_2,19,1.674472423
20RITI20102,2,2,2_2,20,1.20502516
20RITI20202,3,2,3_2,21,1.474537794
20RITI20302,4,2,4_2,22,1.255912654
20RITI20402,5,2,5_2,23,1.278653957
20RITI20502,6,2,6_2,24,1.126665329
20RITI20602,7,2,7_2,25,1.290585868
20RITI20702,8,2,8_2,26,1.397078619
20RITI20802,9,2,9_2,27,1.614587951
20RITI20902,10,2,10_2,28,1.687303304
20RITI21002,11,2,11_2,29,1.868096065
20RITI21102,12,2,12_2,30,1.74111985
20RITI21202,13,2,13_2,31,1.551749364
20RITI21302,14,2,14_2,32,1.296893068
20RITI21402,15,2,15_2,33,1.604460286
20RITI21502,16,2,16_2,34,1.785033387
20RITI21602,17,2,17_2,35,1.742226446
20RITI21702,18,2,18_2,36,1.486909716
20RITI20003,1,3,1_3,37,1.703065261
20RITI20103,2,3,2_3,38,1.304760792
20RITI20203,3,3,3_3,39,1.571345559
20RITI20303,4,3,4_3,40,1.452914482
20RITI20403,5,3,5_3,41,1.428607946
20RITI20503,6,3,6_3,42,1.428153157
20RITI20603,7,3,7_3,43,1.434903811
20RITI20703,8,3,8_3,44,1.339432997
20RITI20803,9,3,9_3,45,1.612777586
20RITI20903,10,3,10_3,46,1.480383923
20RITI21003,11,3,11_3,47,1.704641489
20RITI21103,12,3,12_3,48,1.428154959
20RITI21203,13,3,13_3,49,1.555818413
20RITI21303,14,3,14_3,50,1.359484109
20RITI21403,15,3,15_3,51,1.790201456
20RITI21503,16,3,16_3,52,1.672668127
20RITI21603,17,3,17_3,53,1.390549831
20RITI21703,18,3,18_3,54,1.215605725
20RITI20004,1,4,1_4,55,1.324130946
20RITI20104,2,4,2_4,56,1.259286042
20RITI20204,3,4,3_4,57,1.533293114
20RITI20304,4,4,4_4,58,1.439171275
20RITI20404,5,4,5_4,59,1.344158269
20RITI20504,6,4,6_4,60,1.1980422
20RITI20604,7,4,7_4,61,1.504022778
20RITI20704,8,4,8_4,62,1.589815485
20RITI20804,9,4,9_4,63,1.608502922
20RITI20904,10,4,10_4,64,1.446840226
20RITI21004,11,4,11_4,65,1.34304374
20RITI21104,12,4,12_4,66,1.514389444
20RITI21204,13,4,13_4,67,1.575854257
20RITI21304,14,4,14_4,68,1.330430245
20RITI21404,15,4,15_4,69,1.590491699
20RITI21504,16,4,16_4,70,1.746512645
20RITI21604,17,4,17_4,71,1.517990269
20RITI21704,18,4,18_4,72,1.333811911
20RITI20005,1,5,1_5,73,1.572250217
20RITI20105,2,5,2_5,74,1.202542504
20RITI20205,3,5,3_5,75,1.765425149
20RITI20305,4,5,4_5,76,1.592501909
20RITI20405,5,5,5_5,77,1.358355525
20RITI20505,6,5,6_5,78,1.300482106
20RITI20605,7,5,7_5,79,1.584407794
20RITI20705,8,5,8_5,80,1.273463687
20RITI20805,9,5,9_5,81,1.749895502
20RITI20905,10,5,10_5,82,1.433556529
20RITI21005,11,5,11_5,83,1.733013881
20RITI21105,12,5,12_5,84,1.289901461
20RITI21205,13,5,13_5,85,1.54591011
20RITI21305,14,5,14_5,86,1.51460579
20RITI21405,15,5,15_5,87,1.500872956
20RITI21505,16,5,16_5,88,1.844018598
20RITI21605,17,5,17_5,89,1.270538086
20RITI21705,18,5,18_5,90,1.558518831
20RITI20006,1,6,1_6,91,1.276622632
20RITI20106,2,6,2_6,92,1.158635484
20RITI20206,3,6,3_6,93,1.012960745
20RITI20306,4,6,4_6,94,1.426128147
20RITI20406,5,6,5_6,95,1.557384686
20RITI20506,6,6,6_6,96,1.319396942
20RITI20606,7,6,7_6,97,1.463053276
