plant_id,Row,Range,Row_Range,id,area(m^2)
20RITI20001,1,1,1_1,1,2.131760226
20RITI20002,1,2,1_2,19,2.423777184
20RITI20003,1,3,1_3,37,2.35510968
20RITI20004,1,4,1_4,55,2.268418992
20RITI20005,1,5,1_5,73,2.425359382
20RITI20006,1,6,1_6,91,1.797849337
20RITI20007,1,7,1_7,109,1.963117456
20RITI20008,1,8,1_8,127,2.032467164
20RITI20009,1,9,1_9,145,2.189622123
20RITI20010,1,10,1_10,163,2.242309753
20RITI20011,1,11,1_11,181,2.170704475
20RITI20012,1,12,1_12,199,2.159452164
20RITI20013,1,13,1_13,217,1.954787422
20RITI20014,1,14,1_14,235,1.998019433
20RITI20015,1,15,1_15,253,2.045298652
20RITI20016,1,16,1_16,271,1.825998655
20RITI20017,1,17,1_17,289,1.877779196
20RITI20018,1,18,1_18,307,2.044846933
20RITI20019,1,19,1_19,325,1.688425619
20RITI20020,1,20,1_20,343,1.843551811
20RITI20021,1,21,1_21,361,2.308726183
20RITI20022,1,22,1_22,379,1.816545602
20RITI20023,1,23,1_23,397,1.912459221
20RITI20024,1,24,1_24,415,1.926867469
20RITI20025,1,25,1_25,433,1.479481673
20RITI20026,1,26,1_26,451,2.127490753
20RITI20027,1,27,1_27,469,1.658038974
20RITI20028,1,28,1_28,487,2.345201655
20RITI20029,1,29,1_29,505,1.958842019
20RITI20030,1,30,1_30,523,1.475206353
20RITI20031,1,31,1_31,541,1.324809287
20RITI20032,1,32,1_32,559,1.926641456
20RITI20033,1,33,1_33,577,1.705990453
20RITI20034,1,34,1_34,595,2.15247188
20RITI20035,1,35,1_35,613,1.682120193
20RITI20036,1,36,1_36,631,1.710946905
20RITI20037,1,37,1_37,649,2.125004314
20RITI20038,1,38,1_38,667,2.052724409
20RITI20039,1,39,1_39,685,2.262121828
20RITI20040,1,40,1_40,703,2.068711886
20RITI20041,1,41,1_41,721,1.535328175
20RITI20042,1,42,1_42,739,1.484216197
20RITI20043,1,43,1_43,757,1.594765009
20RITI20044,1,44,1_44,775,2.148641058
20RITI20045,1,45,1_45,793,2.148418606
20RITI20046,1,46,1_46,811,1.637772741
20RITI20047,1,47,1_47,829,2.019637708
20RITI20048,1,48,1_48,847,1.590938528
20RITI20049,1,49,1_49,865,2.369752185
20RITI20050,1,50,1_50,883,2.139637979
20RITI20051,1,51,1_51,901,1.064752437
20RITI20052,1,52,1_52,919,2.146620252
20RITI20053,1,53,1_53,937,0.920651486
20RITI20054,1,54,1_54,955,2.311203534
20RITI20055,1,55,1_55,973,1.751921587
20RITI20056,1,56,1_56,991,2.237588596
20RITI20057,1,57,1_57,1009,1.842660294
20RITI20058,1,58,1_58,1027,2.317731829
20RITI20059,1,59,1_59,1045,2.078621978
20RITI20060,1,60,1_60,1063,1.953216856
20RITI20061,1,61,1_61,1081,1.442787413
20RITI20062,1,62,1_62,1099,2.063087589
20RITI20063,1,63,1_63,1117,1.13770127
20RITI20064,1,64,1_64,1135,1.574052101
20RITI20065,1,65,1_65,1153,2.46250695
20RITI20066,1,66,1_66,1171,2.157646122
20RITI20067,1,67,1_67,1189,1.995316142
20RITI20068,1,68,1_68,1207,2.097760269
20RITI20069,1,69,1_69,1225,2.117573104
20RITI20070,1,70,1_70,1243,2.165754031
20RITI20071,1,71,1_71,1261,1.92258646
20RITI20072,1,72,1_72,1279,2.013775987
20RITI20073,1,73,1_73,1297,1.605800305
20RITI20074,1,74,1_74,1315,1.548381032
20RITI20075,1,75,1_75,1333,2.139859694
20RITI20076,1,76,1_76,1351,1.603091939
20RITI20077,1,77,1_77,1369,1.783216103
20RITI20078,1,78,1_78,1387,1.809110395
20RITI20079,1,79,1_79,1405,2.044624458
20RITI20080,1,80,1_80,1423,2.233520502
20RITI20081,1,81,1_81,1441,1.999142482
20RITI20082,1,82,1_82,1459,1.533297117
20RITI20083,1,83,1_83,1477,0.984599514
20RITI20084,1,84,1_84,1495,2.477138556
20RITI20085,1,85,1_85,1513,2.062639976
20RITI20086,1,86,1_86,1531,1.67491407
20RITI20087,1,87,1_87,1549,2.011295752
20RITI20088,1,88,1_88,1567,1.72355425
20RITI20089,1,89,1_89,1585,1.986078194
20RITI20090,1,90,1_90,1603,1.70171543
20RITI20091,1,91,1_91,1621,1.336287661
20RITI20092,1,92,1_92,1639,1.69675695
20RITI20093,1,93,1_93,1657,2.114190419
20RITI20094,1,94,1_94,1675,1.91966023
20RITI20095,1,95,1_95,1693,1.734357971
20RITI20096,1,96,1_96,1711,2.117795506
20RITI20097,1,97,1_97,1729,1.138602065
20RITI20098,1,98,1_98,1747,1.385372394
20RITI20099,1,99,1_99,1765,1.986763862
20RITI20100,1,100,1_100,1783,2.078400237
20RITI20101,2,1,2_1,2,1.90187321
20RITI20102,2,2,2_2,20,2.206508981
20RITI20103,2,3,2_3,38,2.070069686
20RITI20104,2,4,2_4,56,1.815191923
20RITI20105,2,5,2_5,74,2.064883652
20RITI20106,2,6,2_6,92,1.623811749
20RITI20107,2,7,2_7,110,1.753950714
20RITI20108,2,8,2_8,128,1.994195079
20RITI20109,2,9,2_9,146,1.963349685
20RITI20110,2,10,2_10,164,2.061058946
20RITI20111,2,11,2_11,182,2.451260541
20RITI20112,2,12,2_12,200,2.054975
20RITI20113,2,13,2_13,218,1.671997426
20RITI20114,2,14,2_14,236,2.030882758
20RITI20115,2,15,2_15,254,2.101587828
20RITI20116,2,16,2_16,272,1.598602112
20RITI20117,2,17,2_17,290,1.599718132
20RITI20118,2,18,2_18,308,1.579451654
20RITI20119,2,19,2_19,326,1.359937028
20RITI20120,2,20,2_20,344,1.597014737
20RITI20121,2,21,2_21,362,1.386724896
20RITI20122,2,22,2_22,380,1.88476583
20RITI20123,2,23,2_23,398,1.366237409
20RITI20124,2,24,2_24,416,1.342142777
20RITI20125,2,25,2_25,434,1.258837898
20RITI20126,2,26,2_26,452,1.793806093
20RITI20127,2,27,2_27,470,1.309045335
20RITI20128,2,28,2_28,488,1.908178203
20RITI20129,2,29,2_29,506,1.636423332
20RITI20130,2,30,2_30,524,1.431753747
20RITI20131,2,31,2_31,542,1.501331422
20RITI20132,2,32,2_32,560,1.713870961
20RITI20133,2,33,2_33,578,1.463502714
20RITI20134,2,34,2_34,596,1.549958609
20RITI20135,2,35,2_35,614,1.61998363
20RITI20136,2,36,2_36,632,1.554464916
20RITI20137,2,37,2_37,650,1.703959103
20RITI20138,2,38,2_38,668,1.446844602
20RITI20139,2,39,2_39,686,1.302071345
20RITI20140,2,40,2_40,704,2.725267617
20RITI20141,2,41,2_41,722,1.472280411
20RITI20142,2,42,2_42,740,1.771061109
20RITI20143,2,43,2_43,758,0.910294992
20RITI20144,2,44,2_44,776,1.080964719
20RITI20145,2,45,2_45,794,1.461028626
20RITI20146,2,46,2_46,812,1.310840184
20RITI20147,2,47,2_47,830,1.374116745
20RITI20148,2,48,2_48,848,1.536451583
20RITI20149,2,49,2_49,866,1.464620301
20RITI20150,2,50,2_50,884,1.929792736
20RITI20151,2,51,2_51,902,1.41892531
20RITI20152,2,52,2_52,920,1.969197678
20RITI20153,2,53,2_53,938,1.374337781
20RITI20154,2,54,2_54,956,1.342586695
20RITI20155,2,55,2_55,974,1.775111771
20RITI20156,2,56,2_56,992,1.86247463
20RITI20157,2,57,2_57,1010,1.452014988
20RITI20158,2,58,2_58,1028,2.180838354
20RITI20159,2,59,2_59,1046,1.200524332
20RITI20160,2,60,2_60,1064,1.952758105
20RITI20161,2,61,2_61,1082,1.37906698
20RITI20162,2,62,2_62,1100,1.839960052
20RITI20163,2,63,2_63,1118,1.641817545
20RITI20164,2,64,2_64,1136,1.92078561
20RITI20165,2,65,2_65,1154,1.411256872
20RITI20166,2,66,2_66,1172,2.084711356
20RITI20167,2,67,2_67,1190,1.768805349
20RITI20168,2,68,2_68,1208,1.784105981
20RITI20169,2,69,2_69,1226,1.425441109
20RITI20170,2,70,2_70,1244,1.608276325
20RITI20171,2,71,2_71,1262,1.634392544
20RITI20172,2,72,2_72,1280,1.603094623
20RITI20173,2,73,2_73,1298,1.468449442
20RITI20174,2,74,2_74,1316,1.887015392
20RITI20175,2,75,2_75,1334,1.904799915
20RITI20176,2,76,2_76,1352,1.676718962
20RITI20177,2,77,2_77,1370,1.820594165
20RITI20178,2,78,2_78,1388,1.762729381
20RITI20179,2,79,2_79,1406,1.391899969
20RITI20180,2,80,2_80,1424,2.197943889
20RITI20181,2,81,2_81,1442,1.820372995
20RITI20182,2,82,2_82,1460,1.970318458
20RITI20183,2,83,2_83,1478,1.827129596
20RITI20184,2,84,2_84,1496,1.929792862
20RITI20185,2,85,2_85,1514,2.056106533
20RITI20186,2,86,2_86,1532,0.953082626
20RITI20187,2,87,2_87,1550,1.455172398
20RITI20188,2,88,2_88,1568,1.902782285
20RITI20189,2,89,2_89,1586,1.888810038
20RITI20190,2,90,2_90,1604,1.639342791
20RITI20191,2,91,2_91,1622,1.540054447
20RITI20192,2,92,2_92,1640,1.780294994
20RITI20193,2,93,2_93,1658,2.134236294
20RITI20194,2,94,2_94,1676,1.812028826
20RITI20195,2,95,2_95,1694,1.779162525
20RITI20196,2,96,2_96,1712,2.153591955
20RITI20197,2,97,2_97,1730,2.045972201
20RITI20198,2,98,2_98,1748,1.69675946
20RITI20199,2,99,2_99,1766,2.288465762
20RITI20200,2,100,2_100,1784,2.043045229
20RITI20201,3,1,3_1,3,1.954558811
