plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.831626167
20RITI20002,1,2,1_2,19,2.251988985
20RITI20003,1,3,1_3,37,2.167324562
20RITI20004,1,4,1_4,55,2.279232543
20RITI20005,1,5,1_5,73,1.90300044
20RITI20006,1,6,1_6,91,1.91763002
20RITI20007,1,7,1_7,109,2.161929796
20RITI20008,1,8,1_8,127,1.382232901
20RITI20009,1,9,1_9,145,1.923494771
20RITI20010,1,10,1_10,163,2.256716012
20RITI20011,1,11,1_11,181,2.35196463
20RITI20012,1,12,1_12,199,2.273610248
20RITI20013,1,13,1_13,217,1.777820504
20RITI20014,1,14,1_14,235,1.697893987
20RITI20015,1,15,1_15,253,1.717929872
20RITI20016,1,16,1_16,271,1.734803737
20RITI20017,1,17,1_17,289,1.395962822
20RITI20018,1,18,1_18,307,1.851671108
20RITI20019,1,19,1_19,325,1.665017413
20RITI20020,1,20,1_20,343,1.814294432
20RITI20021,1,21,1_21,361,1.966722579
20RITI20022,1,22,1_22,379,1.482180539
20RITI20023,1,23,1_23,397,1.667498828
20RITI20024,1,24,1_24,415,1.651267549
20RITI20025,1,25,1_25,433,1.606477972
20RITI20026,1,26,1_26,451,1.771532596
20RITI20027,1,27,1_27,469,1.558073751
20RITI20028,1,28,1_28,487,1.883639899
20RITI20029,1,29,1_29,505,1.585752955
20RITI20030,1,30,1_30,523,1.549737136
20RITI20031,1,31,1_31,541,1.486466345
20RITI20032,1,32,1_32,559,2.145058894
20RITI20033,1,33,1_33,577,1.774890366
20RITI20034,1,34,1_34,595,1.885437781
20RITI20035,1,35,1_35,613,1.98787586
20RITI20036,1,36,1_36,631,1.309720653
20RITI20037,1,37,1_37,649,1.67064306
20RITI20038,1,38,1_38,667,1.543898173
20RITI20039,1,39,1_39,685,1.800569075
20RITI20040,1,40,1_40,703,1.906603291
20RITI20041,1,41,1_41,721,1.318727424
20RITI20042,1,42,1_42,739,1.643643664
20RITI20043,1,43,1_43,757,1.414199556
20RITI20044,1,44,1_44,775,2.11554984
20RITI20045,1,45,1_45,793,1.826690922
20RITI20046,1,46,1_46,811,1.30454591
20RITI20047,1,47,1_47,829,1.81337865
20RITI20048,1,48,1_48,847,1.795382728
20RITI20049,1,49,1_49,865,1.80550635
20RITI20050,1,50,1_50,883,1.911564417
20RITI20051,1,51,1_51,901,1.701703131
20RITI20052,1,52,1_52,919,1.935869409
20RITI20053,1,53,1_53,937,1.393014197
20RITI20054,1,54,1_54,955,1.845120834
20RITI20055,1,55,1_55,973,1.708468275
20RITI20056,1,56,1_56,991,2.314571598
20RITI20057,1,57,1_57,1009,2.133533408
20RITI20058,1,58,1_58,1027,1.776921124
20RITI20059,1,59,1_59,1045,1.807545174
20RITI20060,1,60,1_60,1063,2.144146658
20RITI20061,1,61,1_61,1081,1.641593283
20RITI20062,1,62,1_62,1099,1.839045027
20RITI20063,1,63,1_63,1117,1.84017498
20RITI20064,1,64,1_64,1135,1.886785537
20RITI20065,1,65,1_65,1153,1.687304822
20RITI20066,1,66,1_66,1171,2.173633308
20RITI20067,1,67,1_67,1189,2.326733736
20RITI20068,1,68,1_68,1207,2.19817121
20RITI20069,1,69,1_69,1225,2.062626721
20RITI20070,1,70,1_70,1243,1.777144417
20RITI20071,1,71,1_71,1261,2.353984536
20RITI20072,1,72,1_72,1279,2.124095383
20RITI20073,1,73,1_73,1297,1.924167261
20RITI20074,1,74,1_74,1315,2.16553206
20RITI20075,1,75,1_75,1333,2.23960268
20RITI20076,1,76,1_76,1351,2.070082952
20RITI20077,1,77,1_77,1369,2.347002453
20RITI20078,1,78,1_78,1387,1.932952335
20RITI20079,1,79,1_79,1405,1.935195239
20RITI20080,1,80,1_80,1423,2.19098132
20RITI20081,1,81,1_81,1441,2.117575965
20RITI20082,1,82,1_82,1459,2.235544727
20RITI20083,1,83,1_83,1477,1.943534247
20RITI20084,1,84,1_84,1495,2.351501523
20RITI20085,1,85,1_85,1513,2.206507197
20RITI20086,1,86,1_86,1531,2.315469482
20RITI20087,1,87,1_87,1549,2.316383521
20RITI20088,1,88,1_88,1567,2.507984919
20RITI20089,1,89,1_89,1585,2.241174583
20RITI20090,1,90,1_90,1603,1.936319247
20RITI20091,1,91,1_91,1621,1.874625331
20RITI20092,1,92,1_92,1639,2.312098134
20RITI20093,1,93,1_93,1657,2.283508416
20RITI20094,1,94,1_94,1675,2.161261547
20RITI20095,1,95,1_95,1693,2.075688332
20RITI20096,1,96,1_96,1711,1.633041854
20RITI20097,1,97,1_97,1729,1.507631369
20RITI20098,1,98,1_98,1747,1.661416116
20RITI20099,1,99,1_99,1765,1.949615209
20RITI20100,1,100,1_100,1783,1.817893275
20RITI20101,2,1,2_1,2,1.788620816
20RITI20102,2,2,2_2,20,2.215502542
20RITI20103,2,3,2_3,38,2.117345124
20RITI20104,2,4,2_4,56,2.224528823
20RITI20105,2,5,2_5,74,1.765442059
20RITI20106,2,6,2_6,92,2.044171286
20RITI20107,2,7,2_7,110,2.230827099
20RITI20108,2,8,2_8,128,2.240055361
20RITI20109,2,9,2_9,146,1.992611633
20RITI20110,2,10,2_10,164,2.283278687
20RITI20111,2,11,2_11,182,1.563913571
20RITI20112,2,12,2_12,200,1.753253592
20RITI20113,2,13,2_13,218,1.648345578
20RITI20114,2,14,2_14,236,1.929111638
20RITI20115,2,15,2_15,254,1.986981688
20RITI20116,2,16,2_16,272,1.388760469
20RITI20117,2,17,2_17,290,1.730764943
20RITI20118,2,18,2_18,308,2.050024642
20RITI20119,2,19,2_19,326,1.774216049
20RITI20120,2,20,2_20,344,1.855047433
20RITI20121,2,21,2_21,362,1.699234173
20RITI20122,2,22,2_22,380,1.884985409
20RITI20123,2,23,2_23,398,1.714547585
20RITI20124,2,24,2_24,416,1.928434365
20RITI20125,2,25,2_25,434,1.655792722
20RITI20126,2,26,2_26,452,1.569554393
20RITI20127,2,27,2_27,470,1.685505238
20RITI20128,2,28,2_28,488,1.658035506
20RITI20129,2,29,2_29,506,1.79965125
20RITI20130,2,30,2_30,524,1.687512191
20RITI20131,2,31,2_31,542,1.529237824
20RITI20132,2,32,2_32,560,2.118461706
20RITI20133,2,33,2_33,578,1.950974473
20RITI20134,2,34,2_34,596,1.929772594
20RITI20135,2,35,2_35,614,1.970764597
20RITI20136,2,36,2_36,632,1.993735935
20RITI20137,2,37,2_37,650,1.453812797
20RITI20138,2,38,2_38,668,1.643843472
20RITI20139,2,39,2_39,686,1.635534901
20RITI20140,2,40,2_40,704,2.321776509
20RITI20141,2,41,2_41,722,1.522287188
20RITI20142,2,42,2_42,740,1.733903947
20RITI20143,2,43,2_43,758,1.662972575
20RITI20144,2,44,2_44,776,1.744947443
20RITI20145,2,45,2_45,794,1.792677846
20RITI20146,2,46,2_46,812,1.788618837
20RITI20147,2,47,2_47,830,1.710483169
20RITI20148,2,48,2_48,848,1.993744653
20RITI20149,2,49,2_49,866,2.101127976
20RITI20150,2,50,2_50,884,2.206737581
20RITI20151,2,51,2_51,902,2.124781256
20RITI20152,2,52,2_52,920,2.344532655
20RITI20153,2,53,2_53,938,1.828925529
20RITI20154,2,54,2_54,956,1.900958502
20RITI20155,2,55,2_55,974,2.252671114
20RITI20156,2,56,2_56,992,2.208763649
20RITI20157,2,57,2_57,1010,2.082008177
20RITI20158,2,58,2_58,1028,2.020319386
20RITI20159,2,59,2_59,1046,1.80416971
20RITI20160,2,60,2_60,1064,2.349485348
20RITI20161,2,61,2_61,1082,2.030889621
20RITI20162,2,62,2_62,1100,1.975951438
20RITI20163,2,63,2_63,1118,1.832296506
20RITI20164,2,64,2_64,1136,2.036744307
20RITI20165,2,65,2_65,1154,2.098885052
20RITI20166,2,66,2_66,1172,2.323605064
20RITI20167,2,67,2_67,1190,2.201307535
20RITI20168,2,68,2_68,1208,2.342046711
20RITI20169,2,69,2_69,1226,2.113974027
20RITI20170,2,70,2_70,1244,2.404656395
20RITI20171,2,71,2_71,1262,2.340473377
20RITI20172,2,72,2_72,1280,2.193447876
20RITI20173,2,73,2_73,1298,2.042595139
20RITI20174,2,74,2_74,1316,2.214842347
20RITI20175,2,75,2_75,1334,2.246365766
20RITI20176,2,76,2_76,1352,2.176573623
20RITI20177,2,77,2_77,1370,2.024585983
20RITI20178,2,78,2_78,1388,2.058351503
20RITI20179,2,79,2_79,1406,1.925734176
20RITI20180,2,80,2_80,1424,2.441330281
20RITI20181,2,81,2_81,1442,2.106099377
20RITI20182,2,82,2_82,1460,2.399906195
20RITI20183,2,83,2_83,1478,2.24928289
20RITI20184,2,84,2_84,1496,2.449207071
20RITI20185,2,85,2_85,1514,2.571023158
20RITI20186,2,86,2_86,1532,2.238023049
20RITI20187,2,87,2_87,1550,2.485698306
20RITI20188,2,88,2_88,1568,2.553033503
20RITI20189,2,89,2_89,1586,2.377860247
20RITI20190,2,90,2_90,1604,2.000713915
20RITI20191,2,91,2_91,1622,2.372002147
20RITI20192,2,92,2_92,1640,2.415222341
20RITI20193,2,93,2_93,1658,2.437291664
20RITI20194,2,94,2_94,1676,2.193463847
20RITI20195,2,95,2_95,1694,2.331698695
20RITI20196,2,96,2_96,1712,2.357138464
20RITI20197,2,97,2_97,1730,2.221817549
20RITI20198,2,98,2_98,1748,1.891505903
20RITI20199,2,99,2_99,1766,2.37514004
20RITI20200,2,100,2_100,1784,2.113970069
20RITI20201,3,1,3_1,3,1.975048031
20RITI20202,3,2,3_2,21,2.173413819
20RITI20203,3,3,3_3,39,2.08065772
20RITI20204,3,4,3_4,57,2.279230828
20RITI20205,3,5,3_5,75,1.887242774
20RITI20206,3,6,3_6,93,2.282161951
20RITI20207,3,7,3_7,111,2.299953185
20RITI20208,3,8,3_8,129,2.278777858
20RITI20209,3,9,3_9,147,2.267748027
20RITI20210,3,10,3_10,165,2.126802894
20RITI20211,3,11,3_11,183,1.737062574
20RITI20212,3,12,3_12,201,1.934982021
20RITI20213,3,13,3_13,219,1.842200941
20RITI20214,3,14,3_14,237,1.940599675
20RITI20215,3,15,3_15,255,2.085396157
20RITI20216,3,16,3_16,273,1.762049788
20RITI20217,3,17,3_17,291,1.535326428
