fid,id,BI2022_05_13,SCI2022_05_13,GLI2022_05_13,HI2022_05_13,NGRDI2022_05_13,SI2022_05_13,VARI2022_05_13,HUE2022_05_13,BGI2022_05_13,PSRI2022_05_13,NDVI2022_05_13,GNDVI2022_05_13,RVI2022_05_13,NDRE2022_05_13,TVI2022_05_13,CVI2022_05_13,EVI2022_05_13,CIG2022_05_13,CIRE2022_05_13,DVI2022_05_13,GR2022_05_13,NGBDI2022_05_13,BGI22022_05_13,RGBVI2022_05_13,GRVI2022_05_13,EXG2022_05_13,MGRVI2022_05_13,GLA2022_05_13,IHS2022_05_13
"1","1800",2535.36889648438,0.0747053697705269,0.284152537584305,-0.665782392024994,0.251848161220551,0.0747053697705269,0.373137593269348,-1.57079231739044,0.513259589672089,-0.0519945807754993,0.594186365604401,0.412017673254013,3.9283709526062,-0.457520097494125,399632.40625,1.44279325008392,2.13475799560547,1.40146291255951,-0.62780624628067,-13495.2978515625,0.597637832164764,0.321650296449661,0.513259589672089,0.535435497760773,0.251848161220551,2760.65478515625,0.473653674125671,0.284152537584305,2410.79052734375
"2","1782",2507.7138671875,0.0573386661708355,0.286995530128479,-0.751682341098785,0.263109594583511,0.0573386661708355,0.394236624240875,-1.57079231739044,0.501200258731842,-0.0545905791223049,0.612087368965149,0.420070648193359,4.15579986572266,-0.442436277866364,404698.90625,1.4308648109436,2.28401279449463,1.44869589805603,-0.613456964492798,-12986.052734375,0.58339387178421,0.332267284393311,0.501200258731842,0.540714502334595,0.263109594583511,2733.21606445312,0.492149323225021,0.286995530128479,2380.4697265625
"3","1764",2665.56884765625,0.0632384046912193,0.269903361797333,-0.711304426193237,0.244628205895424,0.0632384046912193,0.371410876512527,-1.57079243659973,0.523284077644348,-0.053556565195322,0.58400297164917,0.400071799755096,3.80772709846497,-0.432807922363281,405844.4375,1.42954087257385,2.22383785247803,1.33373236656189,-0.604139506816864,-12592.9814453125,0.606905519962311,0.312952756881714,0.523284077644348,0.51124507188797,0.244628205895424,2744.9140625,0.461631059646606,0.269903361797333,2553.22412109375
"4","1799",2684.34497070312,0.107170201838017,0.264321327209473,-0.533993721008301,0.224956288933754,0.107170201838017,0.332862973213196,-1.57079255580902,0.520645320415497,-0.0556980632245541,0.56644594669342,0.399630129337311,3.61303496360779,-0.385551780462265,397492.59375,1.46652150154114,1.89274799823761,1.33127975463867,-0.55653178691864,-10099.06640625,0.632711291313171,0.315231114625931,0.520645320415497,0.502338767051697,0.224956288933754,2802.91870117188,0.428241282701492,0.264321327209473,2570.638671875
"5","1746",2929.93579101562,0.0714315474033356,0.259080737829208,-0.641754925251007,0.224683851003647,0.0714315474033356,0.340869307518005,-1.57079303264618,0.519294500350952,-0.0627277046442032,0.562807202339172,0.391041278839111,3.57464051246643,-0.3696508705616,410670.71875,1.42105376720428,2.11995673179626,1.284294962883,-0.539773881435394,-10033.7470703125,0.633074522018433,0.316400438547134,0.519294500350952,0.492935717105865,0.224683851003647,2900.77221679688,0.427772521972656,0.259080737829208,2779.97900390625
"6","1674",2738.18408203125,0.0556220076978207,0.266824811697006,-0.724074959754944,0.241134583950043,0.0556220076978207,0.370293438434601,-1.57079291343689,0.522411167621613,-0.0596359856426716,0.574265539646149,0.40344962477684,3.69776439666748,-0.39378547668457,412416.0625,1.40002155303955,2.26155304908752,1.35260879993439,-0.565058946609497,-10876.8818359375,0.611428797245026,0.313705563545227,0.522411167621613,0.505504250526428,0.241134583950043,2944.31567382812,0.455768138170242,0.266824811697006,2618.9267578125
"7","1728",2663.85864257812,0.0672933608293533,0.272041618824005,-0.683808922767639,0.245585560798645,0.0672933608293533,0.368705868721008,-1.5707927942276,0.513311386108398,-0.059194415807724,0.591660916805267,0.414809346199036,3.8978898525238,-0.385885953903198,422976.40625,1.44091618061066,2.14431190490723,1.41768944263458,-0.556879818439484,-10648.267578125,0.605670511722565,0.321605086326599,0.513311386108398,0.515912473201752,0.245585560798645,2894.96166992188,0.463232517242432,0.272041618824005,2545.27734375
"8","1710",2859.05517578125,0.0705756098031998,0.267417341470718,-0.661899507045746,0.234880119562149,0.0705756098031998,0.351977556943893,-1.57079327106476,0.519165098667145,-0.0625859498977661,0.571698367595673,0.397738844156265,3.66960740089417,-0.389251291751862,413905.40625,1.4041360616684,2.13503456115723,1.32081866264343,-0.56037563085556,-11459.44140625,0.619590401649475,0.316512584686279,0.519165098667145,0.505078792572021,0.234880119562149,3036.19677734375,0.445199191570282,0.267417341470718,2694.46142578125
"9","1692",2681.314453125,0.0371851623058319,0.307541131973267,-0.856566667556763,0.296246290206909,0.0371851623058319,0.445301115512848,-1.57079267501831,0.505243539810181,-0.0613387860357761,0.639483869075775,0.423137545585632,4.54760217666626,-0.433567374944687,419072.90625,1.35199379920959,2.4318060874939,1.46703100204468,-0.604879021644592,-13599.62890625,0.542916655540466,0.328688651323318,0.505243539810181,0.567736744880676,0.296246290206909,2855.38110351562,0.54468959569931,0.307541131973267,2532.03076171875
"10","1638",2932.90478515625,0.0595071725547314,0.287447422742844,-0.733249068260193,0.262038379907608,0.0595071725547314,0.391826003789902,-1.57079315185547,0.510612070560455,-0.0618287622928619,0.597900986671448,0.406335324048996,3.97389936447144,-0.402120023965836,449817.59375,1.35453581809998,2.22791695594788,1.36890518665314,-0.573588609695435,-12330.779296875,0.58473789691925,0.323966681957245,0.510612070560455,0.538293182849884,0.262038379907608,3054.8232421875,0.490403592586517,0.287447422742844,2777.61962890625
