fid,left,top,right,bottom,id,BI2022_06_21,SCI2022_06_21,GLI2022_06_21,HI2022_06_21,NGRDI2022_06_21,SI2022_06_21,VARI2022_06_21,HUE2022_06_21,BGI2022_06_21,PSRI2022_06_21,NDVI2022_06_21,GNDVI2022_06_21,RVI2022_06_21,NDRE2022_06_21,TVI2022_06_21,CVI2022_06_21,EVI2022_06_21,CIG2022_06_21,CIRE2022_06_21,DVI2022_06_21,GR2022_06_21,NGBDI2022_06_21,BGI22022_06_21,RGBVI2022_06_21,GRVI2022_06_21,EXG2022_06_21,MGRVI2022_06_21,GLA2022_06_21,IHS2022_06_21
"1",431031.0546,4637752.2322,431034.0546,4637751.3222,"1800",1485.77331542969,0.00346715608611703,0.268579095602036,-0.981417894363403,0.269136875867844,0.00346715608611703,0.424468070268631,-1.5707836151123,0.588047027587891,-0.0548729486763477,0.623704254627228,0.403265058994293,4.31496858596802,-0.48428538441658,222847.25,1.41275250911713,2.811203956604,1.35157179832458,-0.652550220489502,-8650.1103515625,0.575874149799347,0.259408503770828,0.588047027587891,0.503607749938965,0.269136875867844,1466.39294433594,0.501917541027069,0.268579095602036,1413.15539550781
"2",431031.0546,4637751.3222,431034.0546,4637750.4122,"1799",1428.49133300781,0.0165618117898703,0.284730821847916,-0.920744657516479,0.279902189970016,0.0165618117898703,0.431499630212784,-1.57078349590302,0.557242870330811,-0.0557380579411983,0.626305103302002,0.399189621210098,4.35195970535278,-0.467742770910263,224437.453125,1.38106906414032,2.67752861976624,1.32883727550507,-0.637363433837891,-8132.09814453125,0.562619388103485,0.284321218729019,0.557242870330811,0.527802646160126,0.279902189970016,1511.90185546875,0.519132792949677,0.284730821847916,1356.88562011719
"3",431031.0546,4637750.4122,431034.0546,4637749.5022,"1798",1601.62976074219,-0.0308900829404593,0.313104718923569,-1.13121294975281,0.333427399396896,-0.0308900829404593,0.520094335079193,-1.57078719139099,0.547092616558075,-0.0633394867181778,0.656497657299042,0.395555764436722,4.82237672805786,-0.476428091526031,258868.015625,1.24256265163422,3.25318670272827,1.30882477760315,-0.645379304885864,-9406.541015625,0.499894201755524,0.292747437953949,0.547092616558075,0.572465360164642,0.333427399396896,1830.5029296875,0.600135445594788,0.313104718923569,1508.87219238281
"4",431031.0546,4637749.5022,431034.0546,4637748.5922,"1797",1463.373046875,-0.0809813588857651,0.333166897296906,-1.33949673175812,0.372638583183289,-0.0809813588857651,0.592109978199005,-1.57078719139099,0.549400448799133,-0.0689113587141037,0.68578439950943,0.409750491380692,5.36505603790283,-0.502119123935699,261546.53125,1.13070487976074,3.91841006278992,1.38839769363403,-0.668547689914703,-9938.0595703125,0.457047790288925,0.29082190990448,0.549400448799133,0.604037225246429,0.372638583183289,1856.47729492188,0.654406607151031,0.333166897296906,1369.5302734375
"5",431031.0546,4637748.5922,431034.0546,4637747.6822,"1796",1984.39331054688,-0.0222192462533712,0.318086296319962,-1.08706116676331,0.335317313671112,-0.0222192462533712,0.517997026443481,-1.57078909873962,0.542513608932495,-0.070497915148735,0.654228627681732,0.388930797576904,4.78416919708252,-0.424417316913605,292759.375,1.24152386188507,3.05777215957642,1.27295172214508,-0.595917105674744,-8718.669921875,0.497771322727203,0.296585023403168,0.542513608932495,0.579964995384216,0.335317313671112,2080.22094726562,0.602851450443268,0.318086296319962,1864.56005859375
"6",431031.0546,4637747.6822,431034.0546,4637746.7722,"1795",1646.95361328125,-0.0332734398543835,0.325714290142059,-1.13281071186066,0.347105860710144,-0.0332734398543835,0.535753607749939,-1.57078623771667,0.540960550308228,-0.0668620467185974,0.678349137306213,0.407550573348999,5.21792221069336,-0.460483849048615,257245.03125,1.2614266872406,3.14437699317932,1.37581562995911,-0.630590796470642,-8649.2880859375,0.48466432094574,0.297891765832901,0.540960550308228,0.591631472110748,0.347105860710144,1772.41223144531,0.619565010070801,0.325714290142059,1543.63146972656
"7",431031.0546,4637746.7722,431034.0546,4637745.8622,"1794",1731.34155273438,0.0915238335728645,0.225732535123825,-0.473349541425705,0.187943667173386,0.0915238335728645,0.285738348960876,-1.57077383995056,0.591510713100433,-0.044671893119812,0.552497684955597,0.369777679443359,3.46925115585327,-0.39928987622261,174195.828125,1.63657224178314,1.92299246788025,1.17348325252533,-0.570703566074371,-5753.75048828125,0.683581531047821,0.256667673587799,0.591510713100433,0.435657262802124,0.187943667173386,1106.29211425781,0.36306294798851,0.225732535123825,1649.15002441406
"8",431031.0546,4637745.8622,431034.0546,4637744.9522,"1793",1831.75854492188,0.0556949116289616,0.219277039170265,-0.662166774272919,0.200451895594597,0.0556949116289616,0.31539711356163,-1.57077813148499,0.615242123603821,-0.045753687620163,0.553969621658325,0.36058434844017,3.48399972915649,-0.42831563949585,193926.015625,1.60550010204315,2.14856219291687,1.12785577774048,-0.599749267101288,-7210.87548828125,0.666039288043976,0.238204479217529,0.615242123603821,0.420896619558334,0.200451895594597,1202.4248046875,0.385417342185974,0.219277039170265,1755.90026855469
"9",431031.0546,4637744.9522,431034.0546,4637744.0422,"1792",1730.37939453125,0.0150030860677361,0.263571560382843,-0.920614838600159,0.263383537530899,0.0150030860677361,0.410109013319016,-1.57078385353088,0.58413702249527,-0.0575795955955982,0.611100137233734,0.375789165496826,4.14271211624146,-0.409580618143082,224586.890625,1.42984211444855,2.60732483863831,1.2040456533432,-0.58113831281662,-6882.9267578125,0.583050549030304,0.262517064809799,0.58413702249527,0.494477391242981,0.263383537530899,1501.47351074219,0.492595314979553,0.263571560382843,1644.49829101562
"10",431031.0546,4637744.0422,431034.0546,4637743.1322,"1791",1317.46350097656,-0.0139717673882842,0.268199414014816,-1.07755148410797,0.277459561824799,-0.0139717673882842,0.442743897438049,-1.57078015804291,0.589306473731995,-0.0517575107514858,0.636246979236603,0.408552974462509,4.49823617935181,-0.495169281959534,207147.8125,1.43390309810638,3.02167558670044,1.3815370798111,-0.66235888004303,-8595.705078125,0.565607309341431,0.258410513401031,0.589306473731995,0.502400040626526,0.277459561824799,1320.29064941406,0.515253007411957,0.268199414014816,1253.55688476562
