fid,left,top,right,bottom,id,BI2022_09_19,SCI2022_09_19,GLI2022_09_19,HI2022_09_19,NGRDI2022_09_19,SI2022_09_19,VARI2022_09_19,HUE2022_09_19,BGI2022_09_19,PSRI2022_09_19,NDVI2022_09_19,GNDVI2022_09_19,RVI2022_09_19,NDRE2022_09_19,TVI2022_09_19,CVI2022_09_19,EVI2022_09_19,CIG2022_09_19,CIRE2022_09_19,DVI2022_09_19,GR2022_09_19,NGBDI2022_09_19,BGI22022_09_19,RGBVI2022_09_19,GRVI2022_09_19,EXG2022_09_19,MGRVI2022_09_19,GLA2022_09_19,IHS2022_09_19
"1",431031.0546,4637752.2322,431034.0546,4637751.3222,"1800",4670.48974609375,0.274590492248535,0.00608357414603233,2.83492136001587,-0.115067876875401,0.274590492248535,-0.16894319653511,1.57079446315765,0.705172002315521,0.156241595745087,0.0854059755802155,0.203196808695793,1.18676257133484,-0.0765525102615356,16799.24609375,1.8722904920578,0.157778859138489,0.510030090808868,-0.142217889428139,-1160.20886230469,1.26006031036377,0.172902211546898,0.705172002315521,0.0545649342238903,-0.115067876875401,115.967674255371,-0.227128431200981,0.00608357414603233,4546.45361328125
"2",431031.0546,4637751.3222,431034.0546,4637750.4122,"1799",4141.10546875,0.289866596460342,0.000199396759853698,2.9950110912323,-0.126729756593704,0.289866596460342,-0.184641897678375,1.57079422473907,0.698038101196289,0.166238263249397,0.0825532674789429,0.210448682308197,1.17996311187744,-0.0903091505169868,8686.0166015625,1.93793797492981,0.143817663192749,0.533084213733673,-0.165657892823219,-1338.7646484375,1.29024183750153,0.177829831838608,0.698038101196289,0.0487100444734097,-0.126729756593704,3.37765169143677,-0.249453172087669,0.000199396759853698,4014.85986328125
"3",431031.0546,4637750.4122,431034.0546,4637749.5022,"1798",4401.376953125,0.29056590795517,-0.00868609920144081,3.24457120895386,-0.136291489005089,0.29056590795517,-0.197929412126541,1.57079470157623,0.711216628551483,0.184130862355232,0.0530436001718044,0.192460373044014,1.11202967166901,-0.0961222499608994,-17665.8125,1.93706965446472,0.0934838429093361,0.476658642292023,-0.175386011600494,-1395.88073730469,1.31559610366821,0.168759077787399,0.711216628551483,0.029624093323946,-0.136291489005089,-158.398956298828,-0.267611980438232,-0.00868609920144081,4263.36767578125
"4",431031.0546,4637749.5022,431034.0546,4637748.5922,"1797",4219.74560546875,0.304079204797745,-0.00323358527384698,3.08498096466064,-0.135185047984123,0.304079204797745,-0.194600179791451,1.57079446315765,0.691408097743988,0.179212108254433,0.0610411874949932,0.198481500148773,1.13001883029938,-0.0977794900536537,-10577.291015625,1.95455646514893,0.102820567786694,0.495263665914536,-0.178140491247177,-1361.64794921875,1.3126335144043,0.182446733117104,0.691408097743988,0.0450930520892143,-0.135185047984123,-54.8401069641113,-0.265517741441727,-0.00323358527384698,4084.98803710938
"5",431031.0546,4637748.5922,431034.0546,4637747.6822,"1796",3668.2373046875,0.308005541563034,-0.0050063100643456,3.13130784034729,-0.137906938791275,0.308005541563034,-0.198310345411301,1.57079386711121,0.686730742454529,0.180120587348938,0.065552681684494,0.207288265228271,1.14030265808105,-0.0976253822445869,-7131.8876953125,1.99988746643066,0.109279289841652,0.522985279560089,-0.177884697914124,-1156.755859375,1.31993520259857,0.185725718736649,0.686730742454529,0.0441089160740376,-0.137906938791275,-72.1323928833008,-0.270666271448135,-0.0050063100643456,3546.41137695312
"6",431031.0546,4637747.6822,431034.0546,4637746.7722,"1795",3889.76586914062,0.286072552204132,0.00502419471740723,2.86563014984131,-0.121662735939026,0.286072552204132,-0.176658183336258,1.57079386711121,0.69614964723587,0.162140369415283,0.071101687848568,0.196257412433624,1.15308821201324,-0.0989981517195702,1805.03698730469,1.89766812324524,0.128100827336311,0.48835888504982,-0.180160731077194,-1143.11987304688,1.27702975273132,0.179141238331795,0.69614964723587,0.0561768934130669,-0.121662735939026,77.3419647216797,-0.239776343107224,0.00502419471740723,3776.60986328125
"7",431031.0546,4637746.7722,431034.0546,4637745.8622,"1794",4336.2119140625,0.303027242422104,0.00574831012636423,2.85040688514709,-0.127867475152016,0.303027242422104,-0.182289496064186,1.57079446315765,0.681330800056458,0.172025918960571,0.0656353235244751,0.196208730340004,1.14049184322357,-0.0908380299806595,-4317.130859375,1.92451572418213,0.11142648011446,0.488208144903183,-0.166547238826752,-1230.28137207031,1.29322946071625,0.189533904194832,0.681330800056458,0.0623870678246021,-0.127867475152016,97.7750473022461,-0.251620918512344,0.00574831012636423,4204.54833984375
"8",431031.0546,4637745.8622,431034.0546,4637744.9522,"1793",4229.63330078125,0.275947272777557,0.00127073982730508,2.95807647705078,-0.122013695538044,0.275947272777557,-0.178155139088631,1.57079422473907,0.715528309345245,0.164761677384377,0.0644986033439636,0.189940437674522,1.13789105415344,-0.0899726450443268,-3085.861328125,1.87176358699799,0.118703909218311,0.468954235315323,-0.165091559290886,-1179.18005371094,1.27793979644775,0.165821641683578,0.715528309345245,0.0446605272591114,-0.122013695538044,20.5878734588623,-0.240447774529457,0.00127073982730508,4116.3017578125
"9",431031.0546,4637744.9522,431034.0546,4637744.0422,"1792",4180.17724609375,0.267641484737396,0.00323644001036882,2.90219283103943,-0.116221472620964,0.267641484737396,-0.171100258827209,1.57079410552979,0.71612548828125,0.156059011816978,0.0718288421630859,0.19410839676857,1.15477502346039,-0.0951690003275871,4021.94653320312,1.85826516151428,0.134039953351021,0.481723338365555,-0.173797830939293,-1250.22546386719,1.26301038265228,0.165415927767754,0.71612548828125,0.0471845529973507,-0.116221472620964,56.6502418518066,-0.229345083236694,0.00323644001036882,4070.048828125
"10",431031.0546,4637744.0422,431034.0546,4637743.1322,"1791",3589.21044921875,0.259193599224091,0.00877644214779139,2.74626779556274,-0.109024956822395,0.259193599224091,-0.160748988389969,1.57079315185547,0.717150270938873,0.138831436634064,0.0943433418869972,0.208115562796593,1.20834243297577,-0.114660680294037,19166,1.84013080596924,0.180294618010521,0.525621056556702,-0.205731987953186,-1386.935546875,1.24473178386688,0.16472040116787,0.717150270938873,0.0556217022240162,-0.109024956822395,133.032974243164,-0.215488523244858,0.00877644214779139,3497.51416015625
